Title,Genre,Runtime,Premiere,Status,Subject
Stranger Things,Science fiction horror,"min:42,max:150,avg:96",2016,Final season due to premiere in 2025,Unknown
Virgin River,Romantic drama,"min:39,max:54,avg:46",2019,Renewed,Unknown
The Witcher,Fantasy drama,"min:47,max:67,avg:57",2019,Season 4 due to premiere in 2025 Renewed for season 5 (final),Unknown
Outer Banks,Coming-of-age drama,"min:40,max:85,avg:62",2020,Renewed for final season,Unknown
Sweet Magnolias,Romantic drama,"min:43,max:54,avg:48",2020,Pending,Unknown
Kings of Jo'Burg,Fantasy crime drama,"min:37,max:65,avg:51",2020,Renewed,Unknown
Bridgerton,Alternate historical romance,"min:52,max:73,avg:62",2020,Renewed,Unknown
Ginny & Georgia,Coming-of-age drama,"min:52,max:62,avg:57",2021,"Season 3 due to premiere on June 5, 2025 Renewed for season 4",Unknown
Savage Beauty,Drama,"min:42,max:54,avg:48",2022,Pending,Unknown
The Lincoln Lawyer,Legal thriller,"min:43,max:57,avg:50",2022,Renewed,Unknown
The Sandman,Fantasy,"min:37,max:64,avg:50",2022,Final season due to premiere in 2025,Unknown
Heartbreak High,Teen drama,"min:45,max:52,avg:48",2022,Renewed for final season,Unknown
The Watcher,Horror,"min:44,max:52,avg:48",2022,Season 2 due to premiere in 2025,Unknown
The Night Agent,Political thriller,"min:45,max:56,avg:50",2023,Renewed,Unknown
Unseen,Crime thriller,"min:40,max:52,avg:46",2023,Renewed,Unknown
The Diplomat,Political thriller,"min:43,max:56,avg:49",2023,Season 3 due to premiere in 2025,Unknown
My Life with the Walter Boys,Romantic drama,"min:38,max:56,avg:47",2023,Season 2 due to premiere in 2025,Unknown
3 Body Problem,Science fiction,"min:44,max:63,avg:53",2024,Renewed for seasons 2–3,Unknown
Postcards,Drama,"min:26,max:37,avg:31",2024,Pending,Unknown
Supacell,Superhero drama,"min:46,max:59,avg:52",2024,Renewed,Unknown
Beauty in Black,Drama,"min:42,max:57,avg:49",2024,Renewed,Unknown
Black Doves,Thriller,"min:52,max:56,avg:54",2024,Renewed,Unknown
The Residence,Mystery drama,"min:47,max:87,avg:67",2025,Pending,Unknown
Pulse,Medical drama,Unknown,2025,Pending,Unknown
Ransom Canyon,Drama,Unknown,2025,Pending,Unknown
Forever,Teen drama,Unknown,2025,Pending,Unknown
Emily in Paris,Comedy drama,"min:24,max:46,avg:35",2020,Season 5 due to premiere in 2025,Unknown
The Upshaws,Sitcom,"min:22,max:30,avg:26",2021,Renewed for final part,Unknown
Wednesday,Comedy horror,"min:47,max:59,avg:53",2022,Season 2 due to premiere in 2025,Unknown
Beef,Comedy drama anthology,"min:30,max:39,avg:34",2023,Renewed,Unknown
"XO, Kitty",Romance comedy drama,"min:24,max:34,avg:29",2023,Renewed,Unknown
FUBAR,Spy action comedy,"min:45,max:59,avg:52",2023,Season 2 due to premiere in 2025,Unknown
Survival of the Thickest,Comedy drama,"min:24,max:28,avg:26",2023,"Season 2 due to premiere on March 27, 2025",Unknown
The Vince Staples Show,Comedy,"min:19,max:26,avg:22",2024,Season 2 due to premiere in 2025,Unknown
The Gentlemen,Action comedy,"min:41,max:67,avg:54",2024,Renewed,Unknown
Bodkin,Thriller comedy drama,"min:44,max:56,avg:50",2024,Pending,Unknown
Tires,Workplace comedy,"min:18,max:22,avg:20",2024,Season 2 due to premiere in 2025,Unknown
Nobody Wants This,Comedy,"min:21,max:31,avg:26",2024,Season 2 due to premiere in 2025,Unknown
A Man on the Inside,Crime comedy,"min:27,max:34,avg:30",2024,Season 2 due to premiere in 2025,Unknown
No Good Deed,Dark comedy,"min:30,max:39,avg:34",2024,Pending,Unknown
Running Point,Sports comedy,"min:26,max:33,avg:29",2025,Renewed,Unknown
The Four Seasons,Romantic comedy,Unknown,2025,Pending,Unknown
Sirens,Black comedy,Unknown,2025,Miniseries,Unknown
Heartstopper,Teen drama,"min:26,max:40,avg:33",2022,Pending,Unknown
